'sample interval','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG'
1493,-0.002,-0.002,-0.001,0.002,0.006,0.008,0.007,0.005,-0.003,-0.004,-0.004,0.001,0.010,0.012,0.009,0.006,-0.005,-0.008,-0.011,-0.008,0.010,0.015,0.010,0.006,-0.006,-0.010,-0.017,-0.022,-0.003,0.010,0.008,0.005,0.000,0.001
1494,-0.001,-0.001,0.001,0.005,0.010,0.011,0.009,0.006,-0.003,-0.004,-0.002,0.005,0.016,0.016,0.012,0.008,-0.005,-0.007,-0.010,-0.003,0.018,0.020,0.013,0.008,-0.007,-0.011,-0.017,-0.020,0.001,0.012,0.009,0.006,0.000,0.002
1495,-0.001,-0.000,0.002,0.008,0.012,0.013,0.010,0.007,-0.003,-0.003,-0.000,0.009,0.020,0.019,0.013,0.008,-0.005,-0.007,-0.008,0.001,0.024,0.023,0.014,0.008,-0.007,-0.011,-0.017,-0.018,0.005,0.015,0.010,0.006,0.001,0.002
1496,-0.001,0.000,0.003,0.009,0.014,0.014,0.011,0.008,-0.003,-0.003,0.001,0.011,0.023,0.022,0.014,0.009,-0.005,-0.007,-0.008,0.004,0.028,0.026,0.015,0.009,-0.007,-0.011,-0.017,-0.017,0.007,0.016,0.011,0.007,0.001,0.002
1497,-0.001,0.001,0.004,0.010,0.016,0.015,0.012,0.008,-0.003,-0.002,0.001,0.013,0.025,0.023,0.015,0.009,-0.005,-0.007,-0.007,0.006,0.031,0.028,0.016,0.009,-0.007,-0.011,-0.017,-0.016,0.009,0.017,0.011,0.007,0.001,0.003
1498,-0.001,0.001,0.004,0.011,0.016,0.016,0.012,0.008,-0.003,-0.002,0.002,0.014,0.026,0.024,0.016,0.010,-0.005,-0.007,-0.007,0.007,0.033,0.029,0.016,0.009,-0.008,-0.012,-0.017,-0.016,0.010,0.017,0.011,0.007,0.001,0.003
1499,-0.001,0.001,0.005,0.011,0.017,0.016,0.012,0.009,-0.003,-0.002,0.002,0.014,0.027,0.024,0.016,0.010,-0.005,-0.007,-0.006,0.008,0.034,0.029,0.017,0.009,-0.008,-0.012,-0.017,-0.015,0.011,0.018,0.012,0.007,0.001,0.003
1500,-0.001,0.001,0.005,0.011,0.017,0.017,0.013,0.009,-0.003,-0.002,0.002,0.015,0.028,0.025,0.016,0.010,-0.005,-0.007,-0.006,0.008,0.035,0.030,0.017,0.009,-0.008,-0.012,-0.017,-0.015,0.011,0.018,0.012,0.007,0.001,0.003
1501,-0.001,0.001,0.005,0.012,0.017,0.017,0.013,0.009,-0.003,-0.002,0.002,0.015,0.028,0.025,0.016,0.010,-0.005,-0.007,-0.006,0.009,0.035,0.030,0.017,0.009,-0.008,-0.012,-0.017,-0.015,0.011,0.018,0.012,0.007,0.001,0.003
1502,-0.001,0.001,0.005,0.012,0.017,0.017,0.013,0.009,-0.003,-0.002,0.002,0.015,0.028,0.025,0.016,0.010,-0.005,-0.007,-0.006,0.009,0.036,0.030,0.017,0.010,-0.008,-0.012,-0.017,-0.015,0.011,0.018,0.012,0.007,0.001,0.003
1503,-0.001,0.001,0.005,0.012,0.017,0.017,0.013,0.009,-0.003,-0.002,0.002,0.015,0.028,0.025,0.016,0.010,-0.005,-0.007,-0.006,0.009,0.036,0.030,0.017,0.010,-0.008,-0.012,-0.017,-0.015,0.012,0.018,0.012,0.007,0.001,0.003
1504,-0.001,0.001,0.005,0.012,0.017,0.017,0.013,0.009,-0.003,-0.002,0.002,0.015,0.029,0.025,0.016,0.010,-0.005,-0.007,-0.006,0.009,0.036,0.030,0.017,0.010,-0.008,-0.012,-0.017,-0.015,0.012,0.018,0.012,0.007,0.001,0.003
1505,-0.001,0.001,0.005,0.012,0.017,0.017,0.013,0.009,-0.003,-0.002,0.002,0.015,0.029,0.025,0.016,0.010,-0.005,-0.007,-0.006,0.009,0.036,0.030,0.017,0.010,-0.008,-0.012,-0.017,-0.015,0.012,0.018,0.012,0.007,0.001,0.003
1506,-0.001,0.001,0.005,0.012,0.017,0.017,0.013,0.009,-0.003,-0.002,0.002,0.015,0.029,0.025,0.016,0.010,-0.005,-0.007,-0.006,0.009,0.036,0.030,0.017,0.010,-0.008,-0.012,-0.017,-0.015,0.012,0.018,0.012,0.007,0.001,0.003
1507,-0.001,0.001,0.005,0.012,0.018,0.017,0.013,0.009,-0.003,-0.002,0.002,0.015,0.029,0.025,0.016,0.010,-0.005,-0.007,-0.006,0.009,0.036,0.030,0.017,0.010,-0.008,-0.012,-0.017,-0.015,0.012,0.018,0.012,0.007,0.001,0.003
1508,-0.001,0.001,0.005,0.012,0.018,0.017,0.013,0.009,-0.003,-0.002,0.002,0.015,0.029,0.025,0.016,0.010,-0.005,-0.007,-0.006,0.009,0.036,0.030,0.017,0.010,-0.008,-0.012,-0.017,-0.015,0.012,0.018,0.012,0.007,0.001,0.003
1509,-0.001,0.001,0.005,0.012,0.018,0.017,0.013,0.009,-0.003,-0.002,0.002,0.015,0.029,0.026,0.016,0.010,-0.005,-0.007,-0.006,0.009,0.036,0.030,0.017,0.010,-0.008,-0.012,-0.017,-0.015,0.012,0.018,0.012,0.007,0.001,0.003
1510,-0.001,0.001,0.005,0.012,0.018,0.017,0.013,0.009,-0.003,-0.002,0.002,0.015,0.029,0.026,0.016,0.010,-0.005,-0.007,-0.006,0.009,0.036,0.030,0.017,0.010,-0.008,-0.012,-0.017,-0.015,0.012,0.018,0.012,0.007,0.001,0.003
1511,-0.001,0.001,0.005,0.012,0.018,0.017,0.013,0.009,-0.003,-0.002,0.002,0.015,0.029,0.026,0.016,0.010,-0.005,-0.007,-0.006,0.009,0.036,0.030,0.017,0.010,-0.008,-0.012,-0.017,-0.015,0.012,0.018,0.012,0.007,0.001,0.003
1512,-0.001,0.001,0.005,0.012,0.018,0.017,0.013,0.009,-0.003,-0.002,0.002,0.015,0.029,0.026,0.016,0.010,-0.005,-0.007,-0.006,0.009,0.036,0.030,0.017,0.010,-0.008,-0.012,-0.017,-0.015,0.012,0.018,0.012,0.007,0.001,0.003
1513,-0.001,0.001,0.005,0.012,0.018,0.017,0.013,0.009,-0.003,-0.002,0.002,0.015,0.029,0.026,0.017,0.010,-0.005,-0.007,-0.006,0.009,0.036,0.031,0.017,0.010,-0.008,-0.012,-0.017,-0.015,0.012,0.018,0.012,0.007,0.001,0.003
1514,-0.001,0.001,0.005,0.012,0.018,0.017,0.013,0.009,-0.003,-0.002,0.002,0.015,0.029,0.026,0.017,0.010,-0.005,-0.007,-0.006,0.009,0.037,0.031,0.017,0.010,-0.008,-0.012,-0.017,-0.015,0.012,0.018,0.012,0.007,0.001,0.003
1515,-0.001,0.001,0.005,0.012,0.018,0.017,0.013,0.009,-0.003,-0.002,0.002,0.015,0.029,0.026,0.017,0.010,-0.005,-0.007,-0.006,0.009,0.037,0.031,0.017,0.010,-0.008,-0.012,-0.017,-0.015,0.012,0.018,0.012,0.007,0.001,0.003
1516,-0.001,0.001,0.005,0.012,0.018,0.017,0.013,0.009,-0.003,-0.002,0.002,0.016,0.029,0.026,0.017,0.010,-0.005,-0.007,-0.006,0.009,0.037,0.031,0.017,0.010,-0.008,-0.012,-0.017,-0.015,0.012,0.019,0.012,0.007,0.001,0.003
1517,-0.001,0.001,0.005,0.012,0.018,0.017,0.013,0.009,-0.003,-0.002,0.002,0.016,0.029,0.026,0.017,0.010,-0.006,-0.007,-0.006,0.009,0.037,0.031,0.017,0.010,-0.008,-0.012,-0.017,-0.015,0.012,0.019,0.012,0.007,0.001,0.003
1518,-0.001,0.001,0.005,0.012,0.018,0.017,0.013,0.009,-0.003,-0.002,0.002,0.016,0.029,0.026,0.017,0.010,-0.006,-0.007,-0.007,0.009,0.037,0.031,0.017,0.010,-0.008,-0.012,-0.017,-0.015,0.012,0.019,0.012,0.007,0.001,0.003
1519,-0.001,0.001,0.005,0.012,0.018,0.017,0.013,0.009,-0.003,-0.002,0.002,0.016,0.030,0.026,0.017,0.010,-0.006,-0.007,-0.007,0.009,0.037,0.031,0.017,0.010,-0.008,-0.012,-0.018,-0.015,0.012,0.019,0.012,0.007,0.001,0.003
1520,-0.001,0.001,0.005,0.012,0.018,0.017,0.013,0.009,-0.003,-0.002,0.002,0.016,0.030,0.026,0.017,0.010,-0.006,-0.007,-0.007,0.009,0.037,0.031,0.017,0.010,-0.008,-0.012,-0.018,-0.015,0.012,0.019,0.012,0.007,0.001,0.003
1521,-0.001,0.001,0.005,0.012,0.018,0.018,0.013,0.009,-0.003,-0.002,0.002,0.016,0.030,0.026,0.017,0.010,-0.006,-0.007,-0.007,0.009,0.037,0.031,0.017,0.010,-0.008,-0.012,-0.018,-0.015,0.012,0.019,0.012,0.007,0.001,0.003
1522,-0.001,0.001,0.005,0.012,0.018,0.018,0.013,0.009,-0.003,-0.002,0.002,0.016,0.030,0.026,0.017,0.010,-0.006,-0.007,-0.007,0.009,0.037,0.031,0.017,0.010,-0.008,-0.012,-0.018,-0.015,0.012,0.019,0.012,0.007,0.001,0.003
1523,-0.001,0.001,0.005,0.012,0.018,0.018,0.013,0.009,-0.003,-0.002,0.002,0.016,0.030,0.026,0.017,0.010,-0.006,-0.007,-0.007,0.009,0.037,0.031,0.018,0.010,-0.008,-0.012,-0.018,-0.015,0.012,0.019,0.012,0.007,0.001,0.003
1524,-0.001,0.001,0.005,0.012,0.018,0.018,0.013,0.009,-0.003,-0.002,0.002,0.016,0.030,0.026,0.017,0.010,-0.006,-0.007,-0.007,0.009,0.037,0.031,0.018,0.010,-0.008,-0.012,-0.018,-0.015,0.012,0.019,0.012,0.007,0.001,0.003
1525,-0.001,0.001,0.005,0.012,0.018,0.018,0.013,0.009,-0.003,-0.002,0.002,0.016,0.030,0.027,0.017,0.010,-0.006,-0.007,-0.007,0.009,0.037,0.031,0.018,0.010,-0.008,-0.012,-0.018,-0.015,0.012,0.019,0.012,0.007,0.001,0.003
1526,-0.001,0.001,0.005,0.012,0.018,0.018,0.013,0.009,-0.003,-0.002,0.002,0.016,0.030,0.027,0.017,0.010,-0.006,-0.007,-0.007,0.009,0.038,0.031,0.018,0.010,-0.008,-0.012,-0.018,-0.015,0.012,0.019,0.012,0.007,0.001,0.003
1527,-0.001,0.001,0.005,0.012,0.018,0.018,0.013,0.009,-0.003,-0.002,0.002,0.016,0.030,0.027,0.017,0.010,-0.006,-0.007,-0.007,0.009,0.038,0.032,0.018,0.010,-0.008,-0.012,-0.018,-0.015,0.012,0.019,0.012,0.007,0.001,0.003
1528,-0.001,0.001,0.005,0.012,0.018,0.018,0.013,0.009,-0.003,-0.002,0.002,0.016,0.030,0.027,0.017,0.010,-0.006,-0.007,-0.007,0.009,0.038,0.032,0.018,0.010,-0.008,-0.012,-0.018,-0.015,0.012,0.019,0.012,0.007,0.001,0.003
1529,-0.001,0.001,0.005,0.012,0.018,0.018,0.013,0.009,-0.003,-0.002,0.002,0.016,0.030,0.027,0.017,0.010,-0.006,-0.008,-0.007,0.009,0.038,0.032,0.018,0.010,-0.008,-0.012,-0.018,-0.015,0.012,0.019,0.012,0.007,0.001,0.003
1530,-0.001,0.001,0.005,0.012,0.019,0.018,0.014,0.009,-0.003,-0.002,0.002,0.016,0.030,0.027,0.017,0.011,-0.006,-0.008,-0.007,0.009,0.038,0.032,0.018,0.010,-0.008,-0.012,-0.018,-0.015,0.012,0.019,0.012,0.007,0.001,0.003
1531,-0.001,0.001,0.005,0.012,0.019,0.018,0.014,0.009,-0.003,-0.002,0.002,0.016,0.031,0.027,0.017,0.011,-0.006,-0.008,-0.007,0.009,0.038,0.032,0.018,0.010,-0.008,-0.012,-0.018,-0.015,0.012,0.019,0.013,0.007,0.001,0.003
1532,-0.001,0.001,0.005,0.012,0.019,0.018,0.014,0.009,-0.003,-0.002,0.002,0.016,0.031,0.027,0.017,0.011,-0.006,-0.008,-0.007,0.009,0.038,0.032,0.018,0.010,-0.008,-0.012,-0.018,-0.016,0.012,0.019,0.013,0.007,0.001,0.003
1533,-0.001,0.001,0.005,0.012,0.019,0.018,0.014,0.009,-0.003,-0.002,0.002,0.016,0.031,0.027,0.017,0.011,-0.006,-0.008,-0.007,0.009,0.038,0.032,0.018,0.010,-0.008,-0.013,-0.018,-0.016,0.012,0.019,0.013,0.008,0.001,0.003
1534,-0.001,0.001,0.005,0.012,0.019,0.018,0.014,0.009,-0.003,-0.002,0.002,0.016,0.031,0.027,0.017,0.011,-0.006,-0.008,-0.007,0.009,0.038,0.032,0.018,0.010,-0.008,-0.013,-0.018,-0.016,0.012,0.019,0.013,0.008,0.001,0.003
1535,-0.001,0.001,0.005,0.012,0.019,0.018,0.014,0.009,-0.003,-0.002,0.002,0.016,0.031,0.027,0.018,0.011,-0.006,-0.008,-0.007,0.009,0.039,0.032,0.018,0.010,-0.008,-0.013,-0.018,-0.016,0.012,0.020,0.013,0.008,0.001,0.003
1536,-0.001,0.001,0.005,0.013,0.019,0.018,0.014,0.009,-0.003,-0.002,0.002,0.016,0.031,0.028,0.018,0.011,-0.006,-0.008,-0.007,0.009,0.039,0.033,0.018,0.010,-0.008,-0.013,-0.019,-0.016,0.012,0.020,0.013,0.008,0.001,0.003
1537,-0.001,0.001,0.005,0.013,0.019,0.018,0.014,0.010,-0.003,-0.002,0.002,0.016,0.031,0.028,0.018,0.011,-0.006,-0.008,-0.007,0.009,0.039,0.033,0.018,0.010,-0.008,-0.013,-0.019,-0.016,0.012,0.020,0.013,0.008,0.001,0.003
1538,-0.001,0.001,0.005,0.013,0.019,0.018,0.014,0.010,-0.003,-0.002,0.002,0.016,0.031,0.028,0.018,0.011,-0.006,-0.008,-0.007,0.009,0.039,0.033,0.018,0.010,-0.008,-0.013,-0.019,-0.016,0.012,0.020,0.013,0.008,0.001,0.003
1539,-0.001,0.001,0.005,0.013,0.019,0.019,0.014,0.010,-0.003,-0.002,0.002,0.016,0.031,0.028,0.018,0.011,-0.006,-0.008,-0.007,0.009,0.039,0.033,0.018,0.010,-0.008,-0.013,-0.019,-0.016,0.012,0.020,0.013,0.008,0.001,0.003
1540,-0.001,0.001,0.005,0.013,0.019,0.019,0.014,0.010,-0.003,-0.002,0.002,0.016,0.031,0.028,0.018,0.011,-0.006,-0.008,-0.007,0.009,0.039,0.033,0.019,0.010,-0.008,-0.013,-0.019,-0.016,0.012,0.020,0.013,0.008,0.001,0.003
1541,-0.001,0.001,0.005,0.013,0.019,0.019,0.014,0.010,-0.003,-0.002,0.002,0.016,0.032,0.028,0.018,0.011,-0.006,-0.008,-0.007,0.009,0.039,0.033,0.019,0.010,-0.009,-0.013,-0.019,-0.016,0.012,0.020,0.013,0.008,0.001,0.003
1542,-0.001,0.001,0.005,0.013,0.019,0.019,0.014,0.010,-0.003,-0.002,0.002,0.016,0.032,0.028,0.018,0.011,-0.006,-0.008,-0.007,0.009,0.039,0.033,0.019,0.011,-0.009,-0.013,-0.019,-0.016,0.012,0.020,0.013,0.008,0.001,0.003
1543,-0.001,0.001,0.005,0.013,0.019,0.019,0.014,0.010,-0.003,-0.002,0.002,0.016,0.032,0.028,0.018,0.011,-0.006,-0.008,-0.008,0.009,0.040,0.033,0.019,0.011,-0.009,-0.013,-0.019,-0.016,0.012,0.020,0.013,0.008,0.001,0.003
1544,-0.001,0.001,0.005,0.013,0.019,0.019,0.014,0.010,-0.003,-0.002,0.002,0.017,0.032,0.028,0.018,0.011,-0.006,-0.008,-0.008,0.009,0.040,0.033,0.019,0.011,-0.009,-0.013,-0.019,-0.017,0.012,0.020,0.013,0.008,0.001,0.003
1545,-0.001,0.001,0.005,0.013,0.020,0.019,0.014,0.010,-0.003,-0.002,0.002,0.017,0.032,0.028,0.018,0.011,-0.006,-0.008,-0.008,0.009,0.040,0.033,0.019,0.011,-0.009,-0.013,-0.019,-0.017,0.012,0.020,0.013,0.008,0.001,0.003
1546,-0.001,0.001,0.005,0.013,0.020,0.019,0.014,0.010,-0.003,-0.002,0.002,0.017,0.032,0.028,0.018,0.011,-0.006,-0.008,-0.007,0.009,0.040,0.033,0.019,0.011,-0.009,-0.013,-0.019,-0.016,0.012,0.020,0.013,0.008,0.001,0.003
1547,-0.000,0.001,0.006,0.013,0.019,0.018,0.014,0.009,-0.003,-0.002,0.003,0.017,0.032,0.028,0.017,0.011,-0.006,-0.007,-0.006,0.011,0.040,0.032,0.018,0.010,-0.008,-0.012,-0.017,-0.014,0.013,0.019,0.012,0.007,0.002,0.003
1548,0.001,0.002,0.007,0.014,0.018,0.017,0.012,0.008,-0.001,0.000,0.006,0.019,0.031,0.025,0.015,0.009,-0.004,-0.004,-0.001,0.017,0.040,0.029,0.015,0.008,-0.006,-0.008,-0.010,-0.004,0.017,0.017,0.010,0.005,0.002,0.003
1549,0.003,0.005,0.009,0.014,0.016,0.012,0.007,0.004,0.002,0.005,0.012,0.024,0.027,0.017,0.008,0.004,0.001,0.004,0.012,0.033,0.042,0.020,0.008,0.003,-0.000,0.001,0.006,0.022,0.029,0.013,0.004,0.001,0.002,0.003
1550,0.006,0.009,0.012,0.015,0.011,0.004,0.000,-0.002,0.007,0.012,0.021,0.030,0.022,0.006,-0.002,-0.003,0.008,0.015,0.031,0.058,0.045,0.008,-0.003,-0.005,0.008,0.015,0.033,0.063,0.050,0.009,-0.003,-0.005,0.003,0.002
1551,0.007,0.010,0.014,0.013,0.005,-0.003,-0.007,-0.007,0.010,0.016,0.026,0.032,0.016,-0.004,-0.010,-0.009,0.013,0.023,0.046,0.078,0.050,0.000,-0.011,-0.010,0.014,0.027,0.056,0.102,0.075,0.010,-0.008,-0.009,0.004,0.001
1552,0.006,0.008,0.010,0.008,0.001,-0.006,-0.008,-0.008,0.008,0.014,0.022,0.027,0.012,-0.006,-0.011,-0.010,0.011,0.022,0.044,0.076,0.051,0.002,-0.010,-0.010,0.014,0.027,0.058,0.110,0.089,0.018,-0.004,-0.007,0.003,0.001
1553,0.001,0.002,0.002,0.002,-0.001,-0.004,-0.005,-0.004,0.002,0.004,0.009,0.013,0.008,-0.001,-0.005,-0.004,0.004,0.010,0.023,0.048,0.042,0.010,-0.001,-0.003,0.007,0.015,0.036,0.079,0.078,0.027,0.005,-0.000,0.002,0.001
1554,-0.003,-0.004,-0.004,-0.003,-0.001,0.001,0.001,0.001,-0.004,-0.005,-0.005,-0.002,0.004,0.005,0.004,0.002,-0.003,-0.004,-0.002,0.010,0.024,0.017,0.008,0.004,-0.002,-0.001,0.005,0.026,0.045,0.027,0.012,0.006,0.000,0.001
1555,-0.005,-0.006,-0.006,-0.003,0.002,0.006,0.006,0.005,-0.006,-0.009,-0.011,-0.007,0.005,0.011,0.010,0.007,-0.007,-0.011,-0.017,-0.015,0.010,0.019,0.013,0.008,-0.008,-0.012,-0.018,-0.017,0.010,0.019,0.013,0.008,-0.001,0.001
1556,-0.004,-0.004,-0.003,0.001,0.008,0.011,0.010,0.007,-0.006,-0.008,-0.009,-0.003,0.012,0.017,0.014,0.009,-0.008,-0.013,-0.020,-0.019,0.010,0.021,0.015,0.010,-0.010,-0.016,-0.027,-0.036,-0.007,0.014,0.012,0.008,-0.001,0.001
1557,-0.002,-0.001,0.001,0.008,0.014,0.016,0.013,0.009,-0.005,-0.005,-0.004,0.006,0.022,0.024,0.017,0.011,-0.008,-0.011,-0.016,-0.010,0.020,0.026,0.017,0.011,-0.010,-0.016,-0.028,-0.036,-0.008,0.013,0.012,0.008,0.000,0.002
1558,-0.001,0.000,0.004,0.012,0.018,0.018,0.014,0.010,-0.003,-0.003,0.001,0.013,0.028,0.027,0.018,0.011,-0.006,-0.009,-0.011,0.000,0.029,0.029,0.018,0.010,-0.009,-0.015,-0.024,-0.029,-0.003,0.013,0.011,0.007,0.001,0.003
1559,-0.001,0.001,0.006,0.014,0.022,0.021,0.016,0.011,-0.003,-0.003,0.002,0.017,0.034,0.031,0.020,0.013,-0.007,-0.010,-0.011,0.003,0.036,0.034,0.020,0.012,-0.010,-0.016,-0.026,-0.030,-0.000,0.016,0.013,0.008,0.001,0.003
1560,0.000,0.002,0.007,0.014,0.020,0.019,0.014,0.010,-0.002,-0.001,0.004,0.018,0.032,0.028,0.018,0.011,-0.005,-0.007,-0.007,0.007,0.035,0.030,0.017,0.010,-0.008,-0.013,-0.020,-0.023,0.002,0.014,0.010,0.006,0.002,0.003
1561,-0.001,0.001,0.006,0.016,0.024,0.024,0.018,0.013,-0.004,-0.003,0.002,0.018,0.038,0.035,0.023,0.014,-0.008,-0.011,-0.013,0.003,0.040,0.038,0.023,0.013,-0.011,-0.018,-0.029,-0.034,-0.000,0.018,0.014,0.009,0.002,0.004
1562,0.001,0.003,0.007,0.014,0.019,0.017,0.012,0.008,-0.001,0.000,0.005,0.018,0.030,0.024,0.015,0.009,-0.004,-0.005,-0.003,0.011,0.033,0.026,0.014,0.008,-0.006,-0.010,-0.015,-0.016,0.003,0.011,0.008,0.005,0.002,0.003
1563,0.000,0.003,0.010,0.022,0.030,0.028,0.021,0.014,-0.003,-0.001,0.007,0.028,0.049,0.042,0.026,0.016,-0.008,-0.009,-0.008,0.017,0.058,0.046,0.025,0.014,-0.011,-0.018,-0.026,-0.025,0.012,0.024,0.016,0.010,0.003,0.005
1564,0.023,0.032,0.040,0.037,0.015,-0.009,-0.018,-0.019,0.030,0.047,0.073,0.086,0.039,-0.016,-0.030,-0.026,0.036,0.064,0.122,0.192,0.105,-0.017,-0.038,-0.031,0.039,0.071,0.139,0.235,0.148,-0.001,-0.032,-0.028,0.010,0.003
1565,0.048,0.059,0.056,0.014,-0.063,-0.111,-0.110,-0.088,0.075,0.109,0.145,0.111,-0.060,-0.165,-0.150,-0.110,0.106,0.178,0.310,0.416,0.099,-0.166,-0.160,-0.114,0.128,0.225,0.423,0.676,0.378,-0.041,-0.110,-0.090,0.016,-0.008
1566,0.064,0.062,0.021,-0.095,-0.238,-0.286,-0.242,-0.179,0.113,0.144,0.138,-0.036,-0.363,-0.437,-0.324,-0.216,0.170,0.261,0.384,0.308,-0.330,-0.515,-0.352,-0.220,0.211,0.345,0.583,0.753,0.144,-0.295,-0.261,-0.176,0.003,-0.038
1567,0.008,-0.018,-0.086,-0.204,-0.296,-0.278,-0.203,-0.136,0.040,0.023,-0.062,-0.295,-0.514,-0.429,-0.262,-0.154,0.079,0.091,0.041,-0.287,-0.740,-0.542,-0.282,-0.150,0.109,0.151,0.179,0.005,-0.430,-0.387,-0.214,-0.117,-0.027,-0.051
1568,-0.075,-0.099,-0.113,-0.080,0.016,0.096,0.114,0.099,-0.107,-0.165,-0.243,-0.250,-0.042,0.142,0.162,0.128,-0.143,-0.251,-0.464,-0.701,-0.324,0.125,0.177,0.137,-0.168,-0.302,-0.591,-1.000,-0.644,-0.013,0.122,0.111,-0.031,-0.002
1569,-0.013,-0.015,-0.013,0.001,0.023,0.035,0.033,0.026,-0.020,-0.029,-0.037,-0.023,0.027,0.053,0.045,0.032,-0.029,-0.049,-0.082,-0.103,-0.011,0.055,0.048,0.033,-0.036,-0.062,-0.115,-0.179,-0.092,0.018,0.033,0.026,-0.004,0.003
1570,-0.003,-0.004,-0.004,-0.003,0.001,0.004,0.004,0.004,-0.004,-0.006,-0.009,-0.009,-0.001,0.006,0.006,0.005,-0.005,-0.009,-0.018,-0.027,-0.013,0.004,0.007,0.005,-0.006,-0.012,-0.023,-0.039,-0.026,-0.001,0.004,0.004,-0.001,0.000
1571,0.001,0.002,0.005,0.009,0.011,0.010,0.007,0.004,0.000,0.001,0.005,0.013,0.018,0.013,0.008,0.004,-0.001,-0.001,0.001,0.011,0.021,0.014,0.007,0.004,-0.003,-0.004,-0.005,-0.004,0.004,0.006,0.003,0.002,0.001,0.002
1572,-0.000,0.001,0.003,0.007,0.010,0.010,0.007,0.005,-0.001,-0.001,0.001,0.008,0.016,0.014,0.009,0.006,-0.003,-0.004,-0.005,0.002,0.017,0.016,0.009,0.005,-0.004,-0.007,-0.012,-0.014,-0.000,0.007,0.006,0.004,0.001,0.002
1573,0.001,0.002,0.004,0.008,0.011,0.010,0.007,0.004,-0.000,0.001,0.004,0.012,0.018,0.014,0.008,0.005,-0.002,-0.002,-0.000,0.009,0.021,0.015,0.008,0.004,-0.003,-0.005,-0.007,-0.005,0.005,0.007,0.005,0.003,0.001,0.002
1574,0.000,0.001,0.003,0.007,0.010,0.009,0.007,0.005,-0.001,-0.000,0.002,0.009,0.016,0.014,0.008,0.005,-0.002,-0.003,-0.002,0.005,0.019,0.015,0.008,0.005,-0.004,-0.006,-0.009,-0.008,0.003,0.008,0.005,0.003,0.001,0.002
1575,0.000,0.001,0.004,0.008,0.010,0.009,0.007,0.004,-0.001,0.000,0.003,0.010,0.017,0.013,0.008,0.005,-0.002,-0.002,-0.001,0.008,0.020,0.015,0.008,0.004,-0.003,-0.005,-0.007,-0.005,0.006,0.008,0.005,0.003,0.001,0.002
1576,0.000,0.001,0.003,0.007,0.009,0.008,0.006,0.004,-0.001,0.000,0.003,0.009,0.015,0.012,0.007,0.004,-0.002,-0.002,-0.001,0.007,0.019,0.014,0.007,0.004,-0.003,-0.004,-0.006,-0.004,0.006,0.007,0.004,0.002,0.001,0.001
1577,0.000,0.001,0.003,0.006,0.008,0.007,0.005,0.003,-0.000,0.000,0.003,0.009,0.014,0.011,0.006,0.004,-0.001,-0.001,0.000,0.008,0.018,0.012,0.006,0.003,-0.002,-0.003,-0.004,-0.001,0.007,0.007,0.004,0.002,0.001,0.001
1578,0.001,0.001,0.003,0.005,0.006,0.005,0.004,0.002,0.000,0.001,0.003,0.008,0.011,0.008,0.004,0.002,-0.000,0.000,0.002,0.009,0.015,0.009,0.004,0.002,-0.001,-0.001,-0.001,0.003,0.008,0.005,0.003,0.001,0.001,0.001
1579,0.001,0.001,0.002,0.004,0.004,0.003,0.002,0.001,0.001,0.001,0.003,0.006,0.007,0.004,0.002,0.001,0.000,0.001,0.004,0.010,0.011,0.005,0.002,0.001,0.000,0.001,0.003,0.007,0.008,0.004,0.001,0.000,0.001,0.001
1580,0.001,0.001,0.002,0.001,0.000,-0.001,-0.001,-0.001,0.001,0.002,0.003,0.004,0.002,-0.001,-0.002,-0.001,0.002,0.003,0.006,0.010,0.006,-0.001,-0.002,-0.001,0.002,0.004,0.007,0.013,0.009,0.001,-0.001,-0.001,0.000,0.000
1581,0.001,0.001,0.000,-0.002,-0.004,-0.005,-0.005,-0.003,0.002,0.003,0.003,0.000,-0.006,-0.008,-0.006,-0.004,0.003,0.005,0.008,0.009,-0.002,-0.008,-0.006,-0.004,0.004,0.007,0.013,0.019,0.009,-0.003,-0.004,-0.003,0.000,-0.001
1582,0.001,0.001,-0.001,-0.006,-0.010,-0.011,-0.009,-0.006,0.003,0.003,0.002,-0.005,-0.015,-0.016,-0.011,-0.007,0.005,0.008,0.011,0.007,-0.013,-0.017,-0.011,-0.007,0.007,0.011,0.019,0.026,0.008,-0.007,-0.007,-0.005,-0.000,-0.002
1583,0.001,0.000,-0.004,-0.011,-0.018,-0.018,-0.014,-0.010,0.004,0.004,0.001,-0.011,-0.027,-0.026,-0.018,-0.011,0.007,0.010,0.013,0.004,-0.026,-0.028,-0.017,-0.010,0.010,0.015,0.026,0.033,0.006,-0.012,-0.011,-0.007,-0.001,-0.003
1584,0.001,-0.001,-0.006,-0.017,-0.026,-0.025,-0.019,-0.013,0.004,0.004,-0.001,-0.019,-0.040,-0.037,-0.024,-0.015,0.009,0.012,0.015,-0.001,-0.041,-0.040,-0.024,-0.014,0.012,0.020,0.032,0.038,0.003,-0.018,-0.015,-0.010,-0.002,-0.004
